recorder_id,2024-10-27,2024-10-28,2024-10-29,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-12-12,2024-12-13,2024-12-14,2025-04-21,2025-04-25,2025-04-26,2025-04-27,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-13,2025-05-14,2025-05-15,2025-05-16
2MM02629,,,,0.89290607,0.960860789,0.999492526,0.953767359,0.999628186,,,,,,,,,,,,,,,,
2MM02922,,,,,,,,,,,,,,0.001565384,,,,,,,,,,
2MM02967,0.931995988,0.668755949,0.999647856,,,,,,,,,,,,,,,,,,,,,
2MM03008,,,,,0.99944216,0.999750793,0.999785364,0.999135435,0.654040873,,,,,,,,,,,,,,,
2MM03293,0.998818457,0.158225507,,,,,,,,,,,,,,,,,,,,,,
2MM03346,,,,0.529351354,0.997300565,0.962569594,0.99972719,,,,,,,,,,,,,,,,,
2MM03352,,,,,,,,,,0.665563703,0.993203998,0.497517228,0.53477639,0.789178193,,,,,,,,,,
2MM03358,0.592341125,0.998444974,,,,,,,,,,,,,,,,,,,,,,
CCMNP-S-B2,,,,,,,,,,,,,0.000838984,,,,,,,,,,,
CCMNP-S-B4,,,,,,,,,,,,,,,,,,0.056316447,,,,,,
CCMNP-S-R,,,,,,,,,,,,,0.040775791,0.146757379,,,,,,,0.228646994,,,
CCMNP-S-R1,,,,,,,,,,,,,,,,,,,,,0.740594387,0.568953276,0.999756992,0.993190825
CCMNP-S-R10,,,,,,,,,,,,,,,,,,0.760000288,0.999410987,,,,,
CCMNP-S-R12,,,,,,,,,,,,,,,,,0.998780549,0.99976939,0.999950886,0.358768702,,,,
CCMNP-S-R3,,,,,,,,,,,,,,,,,,,,,0.953036249,0.997845888,0.993373036,0.820532382
CCMNP-S-R5,,,,,,,,,,,,,,0.635430455,0.993049741,0.999685407,,,,,,,,
CCMNP-S-R7,,,,,,,,,,,,,,0.831519663,0.999884963,0.937891245,,,,,,0.000582524,,
CCMNP-S-R8,,,,,,,,,,,,,,0.948114634,0.991708338,0.992761791,,,,,,,,
